onset	duration	TrialEvent	ToneLabel	Trial	CRESP	RESP	ACC	RT	Code
0.04	2	TrialStart	Standard	1	0	0	1	n/a	CorrectRejection
2.04	0.2	ToneStart	Standard	1	0	0	1	n/a	CorrectRejection
3.306	2	TrialStart	Standard	2	0	0	1	n/a	CorrectRejection
5.306	0.2	ToneStart	Standard	2	0	0	1	n/a	CorrectRejection
6.572	2	TrialStart	Standard	3	0	0	1	n/a	CorrectRejection
8.572	0.2	ToneStart	Standard	3	0	0	1	n/a	CorrectRejection
9.839	2	TrialStart	Novel	4	0	0	1	n/a	CorrectRejection
11.838	0.2	ToneStart	Novel	4	0	0	1	n/a	CorrectRejection
13.105	1	TrialStart	Standard	5	0	0	1	n/a	CorrectRejection
14.106	0.2	ToneStart	Standard	5	0	0	1	n/a	CorrectRejection
15.371	1	TrialStart	Standard	6	0	0	1	n/a	CorrectRejection
16.371	0.2	ToneStart	Standard	6	0	0	1	n/a	CorrectRejection
17.638	2	TrialStart	Standard	7	0	0	1	n/a	CorrectRejection
19.638	0.2	ToneStart	Standard	7	0	0	1	n/a	CorrectRejection
20.904	1	TrialStart	Standard	8	0	0	1	n/a	CorrectRejection
21.904	0.2	ToneStart	Standard	8	0	0	1	n/a	CorrectRejection
23.171	1	TrialStart	Standard	9	0	0	1	n/a	CorrectRejection
24.171	0.2	ToneStart	Standard	9	0	0	1	n/a	CorrectRejection
25.437	1	TrialStart	Standard	10	0	0	1	n/a	CorrectRejection
26.438	0.2	ToneStart	Standard	10	0	0	1	n/a	CorrectRejection
27.703	1	TrialStart	Oddball	11	1	1	1	445	Hit
28.703	0.2	ToneStart	Oddball	11	1	1	1	445	Hit
29.97	1	TrialStart	Standard	12	0	0	1	n/a	CorrectRejection
30.97	0.2	ToneStart	Standard	12	0	0	1	n/a	CorrectRejection
32.236	2	TrialStart	Standard	13	0	0	1	n/a	CorrectRejection
34.236	0.2	ToneStart	Standard	13	0	0	1	n/a	CorrectRejection
35.503	1	TrialStart	Standard	14	0	0	1	n/a	CorrectRejection
36.503	0.2	ToneStart	Standard	14	0	0	1	n/a	CorrectRejection
37.769	2	TrialStart	Standard	15	0	0	1	n/a	CorrectRejection
39.769	0.2	ToneStart	Standard	15	0	0	1	n/a	CorrectRejection
41.035	2	TrialStart	Standard	16	0	0	1	n/a	CorrectRejection
43.035	0.2	ToneStart	Standard	16	0	0	1	n/a	CorrectRejection
44.302	1	TrialStart	Novel	17	0	0	1	n/a	CorrectRejection
45.303	0.2	ToneStart	Novel	17	0	0	1	n/a	CorrectRejection
46.568	2	TrialStart	Standard	18	0	0	1	n/a	CorrectRejection
48.568	0.2	ToneStart	Standard	18	0	0	1	n/a	CorrectRejection
49.835	2	TrialStart	Standard	19	0	0	1	n/a	CorrectRejection
51.834	0.2	ToneStart	Standard	19	0	0	1	n/a	CorrectRejection
53.101	1	TrialStart	Standard	20	0	0	1	n/a	CorrectRejection
54.101	0.2	ToneStart	Standard	20	0	0	1	n/a	CorrectRejection
55.367	2	TrialStart	Standard	21	0	0	1	n/a	CorrectRejection
57.367	0.2	ToneStart	Standard	21	0	0	1	n/a	CorrectRejection
58.634	2	TrialStart	Standard	22	0	0	1	n/a	CorrectRejection
60.633	0.2	ToneStart	Standard	22	0	0	1	n/a	CorrectRejection
61.9	1	TrialStart	Novel	23	0	0	1	n/a	CorrectRejection
62.9	0.2	ToneStart	Novel	23	0	0	1	n/a	CorrectRejection
64.166	2	TrialStart	Oddball	24	1	1	1	770	Hit
66.166	0.2	ToneStart	Oddball	24	1	1	1	770	Hit
67.433	2	TrialStart	Standard	25	0	0	1	n/a	CorrectRejection
69.433	0.2	ToneStart	Standard	25	0	0	1	n/a	CorrectRejection
70.699	2	TrialStart	Standard	26	0	0	1	n/a	CorrectRejection
72.7	0.2	ToneStart	Standard	26	0	0	1	n/a	CorrectRejection
73.965	1	TrialStart	Standard	27	0	0	1	n/a	CorrectRejection
